"Application","Category","Total Bytes","Bytes Received","Bytes Sent"
"Domain Name Service","Network Service","1135693333","502090080","633603253"
"Google Mail","Email","2403160203","293231819","2109928384"
"Google Search","Web","1364424412","166933857","1197490555"
"Google Maps","Web","302842719","32169677","270673042"
"HyperText Transfer Protocol","Web","3577830132","118049835","3459780297"
"HyperText Transfer Protocol Secure","Web","578380969583","4184758652","574196210931"
"Internet Control Message Protocol","Network Service","4193307186","2520241714","1673065472"
"Internet Message Access Protocol version 4","Email","111278749","34250866","77027883"
"Internet Message Access Protocol Secure","Email","50130947","4604922","45526025"
"Internet Protocol","Network Service","0","0","0"
"Internet Security Association and Key Management Protocol","Tunneling and VPN","2010523318","172468060","1838055258"
"XMPP Protocol (Jabber)","Business Collaboration","27530639","2945034","24585605"
"Network Time Protocol","Network Service","815423","433418","382005"
"Post Office Protocol (Version 3)","Email","520641","11156","509485"
"QQ","Internet Instant Messaging","99003188","23586768","75416420"
"Skype and Teams","Business Collaboration","296925574","17765454","279160120"
"Simple Object Access Protocol","Network Service","3411147648","790254518","2620893130"
"Secure Socket Layer","Tunneling and VPN","108666825195","3210223015","105456602180"
"Session Traversal Utilities for NAT","Business Collaboration","198158139","78131872","120026267"
"Transmission Control Protocol","Other TCP/UDP","11304222102","325978913","10978243189"
"User Datagram Protocol","Other TCP/UDP","333980279923","21882097344","312098182579"
"Yahoo Mail v.2.0","Email","218196338","42597822","175598516"
"Youtube.com","Media","108178093944","2055446149","106122647795"
"Facebook","Social Networking","189100656025","4341106044","184759549981"
"Google Ads","Web","2844618946","316314538","2528304408"
"Windows Live Hotmail","Email","137520754","17533043","119987711"
"Expedia.fr","Web","14385998","4784721","9601277"
"WordPress.com","Social Networking","95611638","2701132","92910506"
"LinkedIn","Social Networking","1231981716","93603383","1138378333"
"Apple Generic Services","Web","31992363500","488150281","31504213219"
"Online Certificate Status Protocol","Business Application","89452722","12948358","76504364"
"Steampowered.com","Gaming","656229116","11731804","644497312"
"Xbox Live","Gaming","689502610","2604322","686898288"
"Foursquare.com","Web","2818856","514353","2304503"
"Twitter","Social Networking","3944761040","151912379","3792848661"
"Vk.com (Vkontakte)","Social Networking","554215240","25075458","529139782"
"Yandex.ru","Web","21566597","5535744","16030853"
"iTunes","Media","12456376843","237504133","12218872710"
"Spotify","Media","10486329263","425178973","10061150290"
"TeamViewer","Remote Desktop","644183011","410695432","233487579"
"Bing.com (formerly MSN Search)","Web","536271107","64648142","471622965"
"Baidu.com","Web","1164667327","104893199","1059774128"
"Adobe Flash Plugin Update","Web","346729","27165","319564"
"Windows Update","Web","4922962237","233965052","4688997185"
"Chrome Update","Web","495820330","12089759","483730571"
"Opera Update","Web","3021454","997109","2024345"
"BitDefender Update","Web","434271","135170","299101"
"Viber","Real Time Audio/Video","17824126","1288941","16535185"
"Netflix.com","Media","57904283938","562913607","57341370331"
"Google Analytics,Google Marketing Platform","Web","521963908","122186569","399777339"
"Google GStatic","Web","5761757561","217367043","5544390518"
"Salesforce","Business Application","17455089","3958383","13496706"
"YouKu","Media","1801725","1408940","392785"
"WHOIS","Network Service","2243","92","2151"
"Google Generic","Web","2759090186","668804852","2090285334"
"AccuWeather","Web","26029811","3498458","22531353"
"Amazon Generic Services","Web","5661619008","1413760031","4247858977"
"CNN (Cable News Network)","Web","69396241","10916137","58480104"
"Daily Mail","Web","238023374","8696316","229327058"
"Daum.net","Web","194140561","6568178","187572383"
"Mozilla.com - Mozilla.org","Web","53063571","8969466","44094105"
"Naver Corporation (formerly NHN Corporation)","Web","507683555","37114373","470569182"
"Reuters.com","Web","11816712","365719","11450993"
"Vimeo","Web","518098039","3434392","514663647"
"Weather.com","Web","41469801","4017985","37451816"
"Xbox","Gaming","2934415","73875","2860540"
"QQDownload","Peer to Peer","15830","6618","9212"
"WhatsApp Messenger","Internet Instant Messaging","29483674617","12362055304","17121619313"
"OICQ","Internet Instant Messaging","84496","50571","33925"
"Taobao","Web","94229510","13529871","80699639"
"QQ WeiBo","Web","2006399","335017","1671382"
"Apple App Store","Web","21389058167","285724709","21103333458"
"Windows Marketplace","Web","1167519797","38130034","1129389763"
"GMX webmail","Email","1792262","358228","1434034"
"Apple FaceTime","Real Time Audio/Video","11774172972","5825811827","5948361145"
"Apple Push Notification Service","Web","635188366","440184668","195003698"
"iOS over-the-air (OTA) update","Web","11672902119","95209187","11577692932"
"Samsung Apps","Web","96703863","7919729","88784134"
"Google Play Store","Media","3056341726","294571254","2761770472"
"Line","Internet Instant Messaging","3236504245","1793154889","1443349356"
"iCloud (Apple)","Storage and Backup","37044975524","18905933125","18139042399"
"Instagram","Web","173999918153","5171669959","168828248194"
"SoundCloud","Media","419519796","21614856","397904940"
"Amazon Web Services/Cloudfront CDN","Infrastructure","33621394300","2469172464","31152221836"
"Amazon Prime Video","Media","2528423464","32597578","2495825886"
"QQ.com","Web","4904763045","100843657","4803919388"
"Sohu.com","Web","3572934","392979","3179955"
"Alipay","Web","48253289","3067295","45185994"
"Sogou.com","Web","2973663","985519","1988144"
"Tianya","Web","33500","3734","29766"
"360.cn","Web","42768098","6520139","36247959"
"Alibaba.com","Web","159772956","35215621","124557335"
"Akamai Technologies CDN","Web","10680635808","210138325","10470497483"
"Microsoft Azure (previously Windows Azure)","Infrastructure","227592502","11248743","216343759"
"ISO Base Media File Format","Real Time Audio/Video","855108669","8993208","846115461"
"Yahoo.com","Web","1557768975","160019951","1397749024"
"WeChat","Internet Instant Messaging","50292372368","1395309018","48897063350"
"Goo.ne.jp","Web","2497075","95818","2401257"
"Nikkei.com","Web","2591426","146193","2445233"
"QQ Games","Gaming","6273015","1202176","5070839"
"QQ Mail","Email","3532810","1085213","2447597"
"Tencent.com","Internet Instant Messaging","82006742","4119729","77887013"
"CloudFlare CDN","Infrastructure","88585134757","597616446","87987518311"
"Microsoft Office 365","Business Collaboration","1276471772","131655224","1144816548"
"Zoho Corporation","Business Application","27546573","14618824","12927749"
"ESPN.go.com","Web","119074059","6470428","112603631"
"Pinterest","Web","927745246","42998114","884747132"
"Microsoft Outlook (Office 365)","Business Application","1073121980","264656299","808465681"
"Reddit.com","Web","6666797320","168744063","6498053257"
"Internet Movie Database","Web","66963583","2057083","64906500"
"Apple SIRI","Web","102988143","59729061","43259082"
"Imgur.com","Storage and Backup","543157895","4369837","538788058"
"Google Documents (aka Google Drive)","Storage and Backup","205057704","63571381","141486323"
"Apple Maps","Web","5130077","306937","4823140"
"Paypal.com","Web","16613604","1998161","14615443"
"MercadoLibre (aka MercadoLivre)","Web","992566","237138","755428"
"Conviva","Infrastructure","3489367","2228094","1261273"
"AliExpress.com","Web","60825498","1846670","58978828"
"Wp.pl","Web","84157","18167","65990"
"Google Accounts","Web","851805608","244099290","607706318"
"Amazon Ad System","Web","331919724","67752371","264167353"
"Snapchat","Social Networking","10765683317","772479009","9993204308"
"Turn","Web","7305847","1800545","5505302"
"ScorecardResearch","Web","642744650","13811058","628933592"
"Quantcast","Web","37789357","6012554","31776803"
"Telegram","Internet Instant Messaging","2441091419","70413643","2370677776"
"Oracle","Web","11275438","3203117","8072321"
"Bitstrips","Social Networking","435821696","22514592","413307104"
"Criteo","Web","250124996","39981499","210143497"
"Adobe","Business Application","636225621","87624264","548601357"
"Google Safe Browsing","Web","269800056","201820246","67979810"
"Inneractive","Web","170202972","113640728","56562244"
"Flurry","Business Application","73344782","20226684","53118098"
"Samsung","Web","231337782","93245047","138092735"
"Crashlytics","Web","64298987","4924551","59374436"
"Brightcove","Media","373149261","2881505","370267756"
"Facebook Messenger","Internet Instant Messaging","11179338740","5177569733","6001769007"
"InMobi","Web","350301879","30767635","319534244"
"AppsFlyer","Business Application","119850261","31873913","87976348"
"FreeWheel","Web","2201017","600576","1600441"
"Xiaomi","Web","6537361101","135797355","6401563746"
"Turner","Web","29524225","650447","28873778"
"Nielsen","Web","29956895","2777460","27179435"
"Stickyads","Web","23367763","11875234","11492529"
"Mixpanel","Web","14147486","9835171","4312315"
"Smart AdServer","Web","100324637","42643799","57680838"
"Taobao Ad Network and Exchange","Web","6612159","4782171","1829988"
"Cedexis","Web","11826824","2995487","8831337"
"Google Cloud Storage","Web","1195250454","387727397","807523057"
"Google Cloud Messaging","Web","185262336","37625551","147636785"
"Apple Location","Web","5154254391","514254279","4640000112"
"OpenX","Web","13450676","3669691","9780985"
"PubMatic","Web","197376837","114805651","82571186"
"Index Exchange (previously Casale Media)","Web","52450639","20807311","31643328"
"LOTAME","Web","16254411","2980907","13273504"
"Rubicon Project","Web","203217539","79630292","123587247"
"Sizmek (previously MediaMind)","Web","24560512","1086374","23474138"
"AppNexus","Web","753859212","416004600","337854612"
"Rlcdn","Web","17871766","3559502","14312264"
"HyperText Transfer Protocol version 2","Web","35776476936","702735209","35073741727"
"GitHub","Web","1199393218","6660200","1192733018"
"Google Tag Manager","Web","397147815","17568037","379579778"
"Facebook Embedded Video","Media","9517856971","76872976","9440983995"
"Ad Safe Protected","Web","172972403","24539917","148432486"
"Adjust.com","Web","35535435","14907593","20627842"
"Urbanairship","Web","7318249","2152891","5165358"
"BootstrapCDN","Web","7123881","418230","6705651"
"Apple Music","Media","1407544178","13806788","1393737390"
"Outbrain","Web","161091819","27000950","134090869"
"Unruly","Web","11219257","5519209","5700048"
"Disney Channel","Web","8519170","251176","8267994"
"Rogers TV","Web","32946598","2975943","29970655"
"NBC","Web","31516749","2825144","28691605"
"Localytics","Web","6767507","1136334","5631173"
"MoPub","Web","330043","87038","243005"
"Applovin","Web","1438275309","399034096","1039241213"
"Android connectivity Manager","Network Service","19715282","10024634","9690648"
"Moat","Web","208472177","56761620","151710557"
"Krux","Web","24241640","2188980","22052660"
"Periscope","Media","5643676","249602","5394074"
"Branch Metrics","Web","273680085","41872113","231807972"
"Optimizely","Web","27065647","3041913","24023734"
"Taboola","Web","369265699","56178067","313087632"
"Ensighten","Web","26196751","1514113","24682638"
"Smaato","Web","15774793","5802431","9972362"
"MediaMath","Web","12255108","4676012","7579096"
"Everest Technologies","Web","22647024","7087441","15559583"
"SpotXchange","Web","20289973","6925368","13364605"
"Microsoft OneDrive","Web","737520353","459612401","277907952"
"Microsoft","Web","2821162089","633320354","2187841735"
"Umeng","Web","9480080","4946775","4533305"
"Revcontent","Web","112918021","4375387","108542634"
"New Relic","Web","104543111","57815130","46727981"
"Liftoff","Web","3089456","1119354","1970102"
"Baidu Maps","Web","10230001","1440744","8789257"
"Conversant","Web","8273369","2754148","5519221"
"Teads","Web","201232340","8600053","192632287"
"Adform","Web","33613700","4393133","29220567"
"hotjar","Web","208334800","15470544","192864256"
"HyperText Transfer Protocol proxy","Network Service","40212020","12924485","27287535"
"Highwinds","Web","67228510","1068237","66160273"
"Tinder","Web","1691333039","44891779","1646441260"
"Firebase Cloud Messaging","Web","1418879432","1082549200","336330232"
"IMO Video Calling Application","Media","25642491","2381226","23261265"
"Bidswitch","Web","47903646","18640698","29262948"
"Bugsnag","Web","6294669","3725374","2569295"
"Apple Game Center","Gaming","157912433","140831949","17080484"
"Flashtalking","Web","60152382","5084839","55067543"
"Sharethrough","Web","111017927","23677244","87340683"
"AdColony","Web","23790694","8194655","15596039"
"Yieldmo","Web","25624818","4642026","20982792"
"Huawei","Web","908574850","33212873","875361977"
"MGID","Web","9755711","413779","9341932"
"ULP","Network Service","10888642","232751","10655891"
"DoubleVerify","Web","148847921","24705857","124142064"
"Media Innovation Group","Web","2148172","589416","1558756"
"Avast","Web","87020874","4194270","82826604"
"PulsePoint","Web","11645142","3840567","7804575"
"eXelate","Web","4011613","1085111","2926502"
"Sonobi","Web","27367302","12481234","14886068"
"Google Secure User Plane Location","Web","2528888","377803","2151085"
"Amplitude","Web","238176138","212072855","26103283"
"Google Cloud Platform","Web","88292450","18388636","69903814"
"United Internet","Web","216030","56870","159160"
"Microsoft teams","Internet Instant Messaging","791679077","67440789","724238288"
"Kakao","Web","3693637","842364","2851273"
"Apptimize","Web","276103","81458","194645"
"UC Browser","Web","9285283","3082823","6202460"
"Tenor","Web","63915055","10296357","53618698"
"Cisco","Web","16304643","7886217","8418426"
"Disqus","Web","84497960","5825500","78672460"
"Grammarly","Web","121304140","39943608","81360532"
"Simpli.fi","Web","20232499","1583502","18648997"
"ByteDance","Web","788799797","135731118","653068679"
"TikTok (Musical.ly)","Social Networking","105679383319","2605830390","103073552929"
"Visual IQ","Web","736053","219409","516644"
"Alibaba Group","Web","8609823","592159","8017664"
"Alibaba Cloud","Web","208749753","16366751","192383002"
"Discord","Internet Instant Messaging","1676037344","53370636","1622666708"
"ExpressVPN","Tunneling and VPN","2673998","765336","1908662"
"WorkspaceOne","Web","79889","34221","45668"
"Apple News","Web","381333277","12749581","368583696"
"Google GSuite","Web","5342644","1056347","4286297"
"Vungle","Web","307783142","13373960","294409182"
"Google APIs","Web","7344422059","2815808949","4528613110"
"TripAdvisor","Web","42236095","1547652","40688443"
"Amazon Cognito","Web","32946715","10491964","22454751"
"Unknown virtual protocol","Unclassified","18199809967","223860223","17975949744"
"Unknown virtual protocol","Unclassified","118370562","2474037","115896525"
"Unknown virtual protocol","Unclassified","1136082304","280929618","855152686"
"NetEase","Web","338349306","6524971","331824335"
"Unknown virtual protocol","Unclassified","1720899","863853","857046"
"Unknown virtual protocol","Unclassified","247492495","65625548","181866947"
"Unknown virtual protocol","Unclassified","8687547","4451647","4235900"
"Google Pay","Web","17474102","3486370","13987732"
"Google Messages","Internet Instant Messaging","131288190","36647005","94641185"
"Baidu Tieba","Social Networking","31766963","4000638","27766325"
"Wangwang","Internet Instant Messaging","11815043","5151913","6663130"
"Shopify","Web","190858274","3459956","187398318"
"Roblox","Gaming","4507114972","292580713","4214534259"
"Likee","Internet Instant Messaging","7145356","1782812","5362544"
"KOCHAVA","Web","2313631","588644","1724987"
"Spotify Audio","Real Time Audio/Video","19542766585","245912140","19296854445"
"Pendo","Web","26846009","4743523","22102486"
"Go Daddy","Web","8727457","656883","8070574"
"NHL.com","Web","60407878","2990319","57417559"
"The Walt Disney Company","Web","43920262","1685433","42234829"
"WarnerMedia","Web","69436671","706992","68729679"
"Bilibili","Web","3656864887","107187746","3549677141"
"Digicert","Web","25085251","5034219","20051032"
"Font Awesome","Web","26407678","1538280","24869398"
"Unknown virtual protocol","Unclassified","843470","327150","516320"
"SD-WAN Control","SD-WAN","17584604783","9563310211","8021294572"
"SD-WAN Management","SD-WAN","4085899749","1710319559","2375580190"
"TencentMeeting","Business Collaboration","7704740511","561776662","7142963849"
"Dailymotion.com","Media","1205783935","25545427","1180238508"
"McAfee Client update","Business Application","115436090","9223356","106212734"
"Wikipedia.com","Web","245877742","33216886","212660856"
"Yahoo Search","Web","4687820","409170","4278650"
"Deezer","Web","192620827","615707","192005120"
"ResearchGATE.net","Web","5577921","209228","5368693"
"Tumblr","Social Networking","232037955","2531957","229505998"
"Yelp.com","Web","41837614","1320274","40517340"
"Archive.org","Web","183620122","1413927","182206195"
"UUSee Protocol","Media","8292748","1092898","7199850"
"Dropbox","Storage and Backup","52245746","19055487","33190259"
"Google Translate","Web","37126641","10665368","26461273"
"Psiphon","Web","8198597","1744593","6454004"
"Portal.TidalTV.com","Web","2228005","545430","1682575"
"Alexa","Web","183128","17733","165395"
"NBA.com","Web","1365110","48461","1316649"
"Nike.com","Web","71624336","15619447","56004889"
"NYTimes.com","Web","119164888","3566259","115598629"
"SurveyMonkey.com","Web","77667","12730","64937"
"WashingtonPost.com","Web","9161425","414556","8746869"
"Sina.com.cn","Internet Instant Messaging","30187098","1251910","28935188"
"Sina Weibo","Web","266457301","14861660","251595641"
"163.com","Web","81235684","29791980","51443704"
"Google Talk (incl. Hangouts and Allo and Duo)","Real Time Audio/Video","131444900","41826466","89618434"
"Nokia Here API","Web","4762303","224021","4538282"
"Microsoft SharePoint Online (Office 365)","Business Application","226616370","29409961","197206409"
"Bet365.com","Web","35590771","3488063","32102708"
"Mendeley.com","File Sharing","39476","19105","20371"
"BBC","Web","62254626","2579884","59674742"
"Bdnews24.com","Web","357789","24727","333062"
"craigslist","Web","122673687","10100428","112573259"
"Echoroukonline.com","Web","171859","28403","143456"
"Kijiji.ca","Web","4212289","198756","4013533"
"Seznam.cz","Web","586337","103993","482344"
"AllMusic.com","Media","24338","1675","22663"
"Aol","Web","7538487","472831","7065656"
"AddThis","Web","38327741","2205417","36122324"
"Symantec","Web","444213424","5492610","438720814"
"TRUSTe","Web","49697575","5039719","44657856"
"Zendesk","Business Collaboration","14036323","439350","13596973"
"Twitch","Media","9615748206","170763532","9444984674"
"BoldChat Live Chat","Internet Instant Messaging","3584915","698671","2886244"
"Gravatar","Business Collaboration","12070794","1729072","10341722"
"Google Calendar","Web","24043235","6880599","17162636"
"Realestate","Web","257694","50508","207186"
"Atlassian","Web","1371351","808944","562407"
"Advertising.com","Web","5008032","1296102","3711930"
"Scotiabank","Web","41619491","8369097","33250394"
"Atlas Solutions","Web","790679","198466","592213"
"Fastly","Web","75246626","816035","74430591"
"UpLynk","Web","7183303","152643","7030660"
"Microsoft Office OneNote (Office 365)","Business Application","96027705","67792457","28235248"
