"Application","Category","Total Bytes","Bytes Received","Bytes Sent"
"Domain Name Service","Network Service","299119085","141085789","158033296"
"Google Mail","Email","13161166","1639712","11521454"
"Google Search","Web","28905976","5285571","23620405"
"HyperText Transfer Protocol","Web","4124537911","279534824","3845003087"
"HyperText Transfer Protocol Secure","Web","3135398461","681638614","2453759847"
"Internet Control Message Protocol","Network Service","4175690814","2521946793","1653744021"
"Internet Protocol","Network Service","0","0","0"
"Skype and Teams","Business Collaboration","10236065","2402113","7833952"
"Simple Object Access Protocol","Network Service","1193723506","594338008","599385498"
"Secure Socket Layer","Tunneling and VPN","3919968610","993877254","2926091356"
"Transmission Control Protocol","Other TCP/UDP","635565002","64249160","571315842"
"User Datagram Protocol","Other TCP/UDP","2232601578","1428559813","804041765"
"Youtube.com","Media","49297900","9686028","39611872"
"Facebook","Social Networking","11442834","1692072","9750762"
"Google Ads","Web","60613945","9411589","51202356"
"Windows Live Hotmail","Email","44142016","4060981","40081035"
"Secure AIM","Internet Instant Messaging","127550","41885","85665"
"Online Certificate Status Protocol","Business Application","302714","91878","210836"
"Twitter","Social Networking","234013","32680","201333"
"TeamViewer","Remote Desktop","260737957","160013942","100724015"
"Bing.com (formerly MSN Search)","Web","109998146","26038127","83960019"
"Windows Update","Web","2596842982","253023310","2343819672"
"Chrome Update","Web","88936526","6856590","82079936"
"Trendmicro Update protocol","Web","5243799","2577472","2666327"
"Google Analytics,Google Marketing Platform","Web","5626743","2224911","3401832"
"Google GStatic","Web","32499771","4625563","27874208"
"Google Generic","Web","19079645","3712029","15367616"
"Amazon Generic Services","Web","1125216347","594100624","531115723"
"Windows Marketplace","Web","479472654","50527016","428945638"
"Google Play Store","Media","52004987","6191008","45813979"
"Amazon Web Services/Cloudfront CDN","Infrastructure","575094461","223400040","351694421"
"Akamai Technologies CDN","Web","911597242","67617657","843979585"
"Microsoft Azure (previously Windows Azure)","Infrastructure","25983942","1876616","24107326"
"Yahoo.com","Web","3520433","1038600","2481833"
"CloudFlare CDN","Infrastructure","27401991","2279180","25122811"
"Microsoft Office 365","Business Collaboration","618783195","92182115","526601080"
"Microsoft Outlook (Office 365)","Business Application","441049380","169222079","271827301"
"Google Documents (aka Google Drive)","Storage and Backup","37558737","4022944","33535793"
"Google Accounts","Web","3165058","923942","2241116"
"Amazon Ad System","Web","981170","406664","574506"
"Aol","Web","350282","108242","242040"
"ScorecardResearch","Web","542799","221364","321435"
"Quantcast","Web","172593","62218","110375"
"Criteo","Web","4584736","687040","3897696"
"Adobe","Business Application","506050792","33069760","472981032"
"FreeWheel","Web","685968","344532","341436"
"Stickyads","Web","246397","116140","130257"
"Smart AdServer","Web","882496","400372","482124"
"Google Cloud Messaging","Web","7972663","4389081","3583582"
"OpenX","Web","313653","160087","153566"
"PubMatic","Web","2549366","1849556","699810"
"Index Exchange (previously Casale Media)","Web","2097169","1273274","823895"
"Rubicon Project","Web","977479","456816","520663"
"ADTECH","Web","68681","18500","50181"
"AppNexus","Web","5311675","3443619","1868056"
"HyperText Transfer Protocol version 2","Web","1003401474","290292905","713108569"
"Google Tag Manager","Web","8438577","969000","7469577"
"Facebook Embedded Video","Media","7324005","832660","6491345"
"Outbrain","Web","2397980","530850","1867130"
"Moat","Web","1598122","374837","1223285"
"Taboola","Web","4570328","1008812","3561516"
"Smaato","Web","100498","35094","65404"
"Everest Technologies","Web","125631","52591","73040"
"SpotXchange","Web","148784","64250","84534"
"Microsoft","Web","2563108086","487635655","2075472431"
"Conversant","Web","59462","21614","37848"
"Adform","Web","122506","39488","83018"
"Bidswitch","Web","377226","153646","223580"
"Microsoft Word Online (Office 365)","Business Collaboration","6269071","423832","5845239"
"Okta","Web","27189159","7991611","19197548"
"PulsePoint","Web","149790","62626","87164"
"Sonobi","Web","130118","60326","69792"
"Google APIs","Web","336088355","41522502","294565853"
"Amazon Cognito","Web","12509273","4025062","8484211"
"Pendo","Web","5524838","2305911","3218927"
"Contentful","Web","1536043","744794","791249"
"Digicert","Web","563107","238302","324805"
"SD-WAN Control","SD-WAN","31707147686","16636392843","15070754843"
"SD-WAN Management","SD-WAN","5338634945","2268690643","3069944302"
"TencentMeeting","Business Collaboration","28662531","14573254","14089277"
"Dailymotion.com","Media","25092353","2471846","22620507"
"Google Maps","Web","1302129","175738","1126391"
"Internet Message Access Protocol Secure","Email","55014","20596","34418"
"Internet Security Association and Key Management Protocol","Tunneling and VPN","160251","97230","63021"
"XMPP Protocol (Jabber)","Business Collaboration","5098","3488","1610"
"Session Traversal Utilities for NAT","Business Collaboration","2247","1218","1029"
"Yahoo Mail v.2.0","Email","2912647","142468","2770179"
"LinkedIn","Social Networking","392213","119064","273149"
"Apple Generic Services","Web","4644079","380726","4263353"
"iTunes","Media","177602","78506","99096"
"Netflix.com","Media","824725","240070","584655"
"Google Translate","Web","1142781","189356","953425"
"Salesforce","Business Application","13142","3404","9738"
"Portal.TidalTV.com","Web","35781","10728","25053"
"WhatsApp Messenger","Internet Instant Messaging","364368","165145","199223"
"Apple App Store","Web","1445463","157830","1287633"
"Apple Push Notification Service","Web","583941","335908","248033"
