"Application","Category","Total Bytes","Bytes Received","Bytes Sent"
"Domain Name Service","Network Service","363538151","162318132","201220019"
"HyperText Transfer Protocol","Web","691896696","70167180","621729516"
"HyperText Transfer Protocol Secure","Web","1233167071","422737645","810429426"
"Internet Control Message Protocol","Network Service","4063965507","2450137738","1613827769"
"Internet Message Access Protocol version 4","Email","113730499","40873932","72856567"
"Internet Protocol","Network Service","0","0","0"
"Skype and Teams","Business Collaboration","19893759","6780102","13113657"
"Simple Object Access Protocol","Network Service","1313283263","520034360","793248903"
"Secure Socket Layer","Tunneling and VPN","2346196612","903779372","1442417240"
"Transmission Control Protocol","Other TCP/UDP","848216005","102349190","745866815"
"User Datagram Protocol","Other TCP/UDP","4751585277","1576322826","3175262451"
"Apple Generic Services","Web","85071760","11398872","73672888"
"TeamViewer","Remote Desktop","250515814","122379046","128136768"
"Bing.com (formerly MSN Search)","Web","156530236","31041008","125489228"
"Windows Update","Web","1966560924","197150506","1769410418"
"Amazon Generic Services","Web","1018757915","605517334","413240581"
"Amazon Web Services/Cloudfront CDN","Infrastructure","2020639054","1283009608","737629446"
"Microsoft Office 365","Business Collaboration","467879781","100735410","367144371"
"Microsoft Outlook (Office 365)","Business Application","62055431","12839560","49215871"
"Google Cloud Messaging","Web","48159518","21852022","26307496"
"Microsoft","Web","2553560592","470891154","2082669438"
"New Relic","Web","48211721","31783476","16428245"
"Amazon Cognito","Web","10967104","3655920","7311184"
"SD-WAN Control","SD-WAN","39322765029","20540932396","18781832633"
"SD-WAN Management","SD-WAN","5519642917","2405697016","3113945901"
"TencentMeeting","Business Collaboration","31141917","10992696","20149221"
"Dailymotion.com","Media","18275604","2456220","15819384"
"Google Mail","Email","29346812","4865500","24481312"
"Google Search","Web","4028671","832748","3195923"
"Secure Shell","Tunneling and VPN","338427617","195240624","143186993"
"Yahoo Search","Web","403431","64832","338599"
"Youtube.com","Media","13155237","2266428","10888809"
"Facebook","Social Networking","100946101","12378118","88567983"
"Google Ads","Web","26116560","4638120","21478440"
"Windows Live Hotmail","Email","49908370","4105576","45802794"
"Secure AIM","Internet Instant Messaging","209102","75820","133282"
"LinkedIn","Social Networking","3704003","435134","3268869"
"Online Certificate Status Protocol","Business Application","330028","134110","195918"
"Twitter","Social Networking","9178853","1282846","7896007"
"Baidu.com","Web","1497672","206004","1291668"
"Chrome Update","Web","103924728","9861858","94062870"
"Opera Update","Web","180406","62384","118022"
"Google Analytics,Google Marketing Platform","Web","2806652","732574","2074078"
"Google GStatic","Web","67115600","7909698","59205902"
"Psiphon","Web","326741","270692","56049"
"Portal.TidalTV.com","Web","196038","77528","118510"
"Google Generic","Web","20839969","4647134","16192835"
"WhatsApp Messenger","Internet Instant Messaging","241119725","98705304","142414421"
"Apple App Store","Web","12525862","1508120","11017742"
"Windows Marketplace","Web","287887045","30366174","257520871"
"Apple Push Notification Service","Web","9285613","5887070","3398543"
"iOS over-the-air (OTA) update","Web","4162797","356670","3806127"
"Samsung Apps","Web","11798592","3190058","8608534"
"Google Play Store","Media","29353631","7781184","21572447"
"iCloud (Apple)","Storage and Backup","74632297","32290356","42341941"
"Akamai Technologies CDN","Web","453947044","35543086","418403958"
"Microsoft Azure (previously Windows Azure)","Infrastructure","7301906","622820","6679086"
"Yahoo.com","Web","21844392","8791148","13053244"
"CloudFlare CDN","Infrastructure","231778346","24469406","207308940"
"Apple SIRI","Web","1153761","713098","440663"
"Google Accounts","Web","2891387","782334","2109053"
"Amazon Ad System","Web","3391740","1297048","2094692"
"Aol","Web","1825769","579534","1246235"
"Turn","Web","303951","101818","202133"
"ScorecardResearch","Web","964129","367772","596357"
"Quantcast","Web","726239","276832","449407"
"Oracle","Web","412086","149214","262872"
"TRUSTe","Web","615892","109674","506218"
"Criteo","Web","13108739","3270556","9838183"
"Adobe","Business Application","3452078","1196942","2255136"
"Google Safe Browsing","Web","287534","107808","179726"
"Samsung","Web","34978983","11304306","23674677"
"FreeWheel","Web","934575","455890","478685"
"Nielsen","Web","209239","72920","136319"
"Stickyads","Web","1339631","530920","808711"
"Smart AdServer","Web","2488000","1057094","1430906"
"Google Calendar","Web","709274","222286","486988"
"Apple Location","Web","82215664","7832278","74383386"
"OpenX","Web","205538","76000","129538"
"PubMatic","Web","4555043","2526154","2028889"
"Index Exchange (previously Casale Media)","Web","1296835","519942","776893"
"LOTAME","Web","452048","145568","306480"
"Rubicon Project","Web","14564631","9084476","5480155"
"AppNexus","Web","42818270","30580106","12238164"
"Rlcdn","Web","369935","82384","287551"
"HyperText Transfer Protocol version 2","Web","290855812","59267928","231587884"
"Google Tag Manager","Web","2161443","397692","1763751"
"BootstrapCDN","Web","71888","12402","59486"
"Outbrain","Web","15987371","5297150","10690221"
"Unruly","Web","219362","88534","130828"
"Moat","Web","10697944","3184568","7513376"
"Krux","Web","140633","44174","96459"
"Heap","Web","23183223","12709128","10474095"
"Taboola","Web","22793627","5819372","16974255"
