"Application","Category","Total Bytes","Bytes Received","Bytes Sent"
"Dailymotion.com","Media","1291492043","9328906","1282163137"
"Domain Name Service","Network Service","3068794010","1544569415","1524224595"
"eBay.com","Web","4363371","539636","3823735"
"Google Mail","Email","2562976154","246721914","2316254240"
"Google Search","Web","1748839723","274763349","1474076374"
"Google Maps","Web","220008168","31699751","188308417"
"HyperText Transfer Protocol","Web","8827605815","398893223","8428712592"
"HyperText Transfer Protocol Secure","Web","107212424053","3317884068","103894539985"
"Internet Control Message Protocol","Network Service","4398508984","2649919110","1748589874"
"Internet Message Access Protocol version 4","Email","113378631","40901820","72476811"
"Internet Message Access Protocol Secure","Email","8264660","1463934","6800726"
"Internet Protocol","Network Service","0","0","0"
"McAfee Client update","Business Application","34748146","4039698","30708448"
"Network Time Protocol","Network Service","3406981","1955056","1451925"
"QQ","Internet Instant Messaging","1395060","1015487","379573"
"Skype and Teams","Business Collaboration","51235970","10418041","40817929"
"Simple Object Access Protocol","Network Service","1774872870","1054726335","720146535"
"Secure Shell","Tunneling and VPN","879428003","527187922","352240081"
"Secure Socket Layer","Tunneling and VPN","119009542280","6333213315","112676328965"
"Session Traversal Utilities for NAT","Business Collaboration","61592825","16885383","44707442"
"Transmission Control Protocol","Other TCP/UDP","5371175362","344523241","5026652121"
"User Datagram Protocol","Other TCP/UDP","374256134785","24880724799","349375409986"
"Wikipedia.com","Web","208867952","17751420","191116532"
"Yahoo Search","Web","2616944","248444","2368500"
"Yahoo Mail v.2.0","Email","166067439","26937884","139129555"
"Youtube.com","Media","37572707386","1287051251","36285656135"
"Facebook","Social Networking","146609891324","4260234785","142349656539"
"Google Ads","Web","2858821060","418748798","2440072262"
"Secure AIM","Internet Instant Messaging","1639880","144165","1495715"
"WordPress.com","Social Networking","419908891","5524850","414384041"
"LinkedIn","Social Networking","531135860","25653142","505482718"
"Apple Generic Services","Web","35349505994","537534582","34811971412"
"Online Certificate Status Protocol","Business Application","26210252","10591133","15619119"
"Odnoklassniki.ru","Social Networking","1183727518","20903594","1162823924"
"Twitter","Social Networking","2862418741","179261184","2683157557"
"iTunes","Media","8265747194","215780779","8049966415"
"Spotify","Media","7179427462","286508593","6892918869"
"TeamViewer","Remote Desktop","371907732","236475813","135431919"
"Bing.com (formerly MSN Search)","Web","335491499","45426826","290064673"
"Windows Update","Web","6879517383","330271714","6549245669"
"Apple Update","Web","10686504","383765","10302739"
"Chrome Update","Web","301249866","15093075","286156791"
"Opera Update","Web","3215723","975388","2240335"
"Netflix.com","Media","49156822527","293625053","48863197474"
"Google Analytics,Google Marketing Platform","Web","516790770","130283530","386507240"
"Google GStatic","Web","3051305673","196251260","2855054413"
"Salesforce","Business Application","39557856","14303323","25254533"
"Portal.TidalTV.com","Web","1609029","400237","1208792"
"Google Generic","Web","2613268343","364593836","2248674507"
"Amazon Generic Services","Web","5458434664","1904279897","3554154767"
"NYTimes.com","Web","12743914","522895","12221019"
"USAToday.com","Web","3009","1468","1541"
"WhatsApp Messenger","Internet Instant Messaging","68202124488","25178694327","43023430161"
"Google App Engine","Business Application","1397687","263840","1133847"
"Apple App Store","Web","37183862127","440622660","36743239467"
"Apple Push Notification Service","Web","656724189","446491834","210232355"
"iOS over-the-air (OTA) update","Web","3556373079","30352570","3526020509"
"Samsung Apps","Web","523782010","15255466","508526544"
"Google Play Store","Media","6227275710","944299784","5282975926"
"iCloud (Apple)","Storage and Backup","10099150446","1963078401","8136072045"
"Instagram","Web","317721037898","7887427367","309833610531"
"Amazon Web Services/Cloudfront CDN","Infrastructure","28911335785","15562384652","13348951133"
"360.cn","Web","2094477","380025","1714452"
"Akamai Technologies CDN","Web","20142326767","189326727","19953000040"
"Limelight Networks CDN","Web","1716939954","14400700","1702539254"
"Microsoft Azure (previously Windows Azure)","Infrastructure","1514700029","36528399","1478171630"
"Yahoo.com","Web","1407758169","143842163","1263916006"
"CloudFlare CDN","Infrastructure","117556066911","1557086277","115998980634"
"Microsoft Office 365","Business Collaboration","2392895942","321219454","2071676488"
"Zoho Corporation","Business Application","40638626","21635812","19002814"
"Microsoft SharePoint Online (Office 365)","Business Application","156409556","70154646","86254910"
"ESPN.go.com","Web","1860433585","27112065","1833321520"
"Pinterest","Web","570862363","24786543","546075820"
"BuzzFeed.com","Web","5793772","322774","5470998"
"Microsoft Outlook (Office 365)","Business Application","2241706785","575261347","1666445438"
"Internet Movie Database","Web","214301871","697289","213604582"
"Apple SIRI","Web","169640586","109140761","60499825"
"Imgur.com","Storage and Backup","432953151","3269346","429683805"
"Apple Maps","Web","5497500","173718","5323782"
"BBC","Web","45636874","3270746","42366128"
"Index.hr","Web","174403","8624","165779"
"Kijiji.ca","Web","184642240","9481213","175161027"
"Conviva","Infrastructure","17346621","8895651","8450970"
"Google Accounts","Web","244149418","70434454","173714964"
"Amazon Ad System","Web","339936045","69048757","270887288"
"Aol","Web","3244137","508529","2735608"
"Snapchat","Social Networking","42412931984","1429057129","40983874855"
"AddThis","Web","75001953","6799955","68201998"
"Turn","Web","3849006","963494","2885512"
"ScorecardResearch","Web","52002878","16161604","35841274"
"Quantcast","Web","25676309","4946545","20729764"
"Huffington Post","Web","1705258","33142","1672116"
"Oracle","Web","11186999","3207524","7979475"
"Bitstrips","Social Networking","583558437","18825471","564732966"
"TRUSTe","Web","66994694","4056719","62937975"
"Criteo","Web","161819239","30169119","131650120"
